x,y,u,v,p
7,-0.5,0.00E+00,0.00E+00,1.94E-01
7,-0.48989898,5.26E-02,-1.98E-05,1.94E-01
7,-0.479797959,1.03E-01,-8.15E-05,1.94E-01
7,-0.469696939,1.51E-01,-2.11E-04,1.94E-01
7,-0.459595919,1.98E-01,-4.26E-04,1.93E-01
7,-0.449494898,2.42E-01,-7.40E-04,1.93E-01
7,-0.439393878,2.85E-01,-1.16E-03,1.93E-01
7,-0.429292858,3.27E-01,-1.68E-03,1.93E-01
7,-0.419191837,3.67E-01,-2.28E-03,1.93E-01
7,-0.409090817,4.06E-01,-2.97E-03,1.93E-01
7,-0.398989797,4.45E-01,-3.72E-03,1.93E-01
7,-0.388888776,4.83E-01,-4.51E-03,1.93E-01
7,-0.378787756,5.21E-01,-5.32E-03,1.93E-01
7,-0.368686736,5.59E-01,-6.14E-03,1.93E-01
7,-0.358585715,5.96E-01,-6.96E-03,1.92E-01
7,-0.348484695,6.34E-01,-7.76E-03,1.92E-01
7,-0.338383675,6.71E-01,-8.53E-03,1.92E-01
7,-0.328282654,7.07E-01,-9.26E-03,1.92E-01
7,-0.318181634,7.43E-01,-9.96E-03,1.91E-01
7,-0.308080614,7.79E-01,-1.06E-02,1.91E-01
7,-0.297979593,8.13E-01,-1.12E-02,1.90E-01
7,-0.287878573,8.46E-01,-1.18E-02,1.90E-01
7,-0.277777553,8.79E-01,-1.23E-02,1.89E-01
7,-0.267676532,9.09E-01,-1.28E-02,1.89E-01
7,-0.257575512,9.39E-01,-1.32E-02,1.88E-01
7,-0.247474506,9.66E-01,-1.35E-02,1.88E-01
7,-0.237373501,9.92E-01,-1.39E-02,1.87E-01
7,-0.227272496,1.02E+00,-1.41E-02,1.86E-01
7,-0.21717149,1.04E+00,-1.43E-02,1.86E-01
7,-0.207070485,1.06E+00,-1.45E-02,1.85E-01
7,-0.196969479,1.07E+00,-1.46E-02,1.84E-01
7,-0.186868474,1.09E+00,-1.46E-02,1.83E-01
7,-0.176767468,1.10E+00,-1.46E-02,1.82E-01
7,-0.166666463,1.11E+00,-1.45E-02,1.81E-01
7,-0.156565458,1.12E+00,-1.44E-02,1.80E-01
7,-0.146464452,1.12E+00,-1.42E-02,1.80E-01
7,-0.136363447,1.12E+00,-1.40E-02,1.79E-01
7,-0.126262441,1.12E+00,-1.37E-02,1.78E-01
7,-0.116161428,1.12E+00,-1.34E-02,1.77E-01
7,-0.106060416,1.11E+00,-1.30E-02,1.76E-01
7,-0.095959403,1.10E+00,-1.26E-02,1.75E-01
7,-0.08585839,1.08E+00,-1.21E-02,1.74E-01
7,-0.075757377,1.07E+00,-1.17E-02,1.73E-01
7,-0.065656364,1.05E+00,-1.12E-02,1.72E-01
7,-0.055555355,1.03E+00,-1.06E-02,1.72E-01
7,-0.045454346,1.01E+00,-1.01E-02,1.71E-01
7,-0.035353337,9.80E-01,-9.51E-03,1.70E-01
7,-0.025252327,9.52E-01,-8.94E-03,1.69E-01
7,-0.015151317,9.22E-01,-8.37E-03,1.69E-01
7,-0.005050307,8.91E-01,-7.79E-03,1.68E-01
7,0.005050703,8.58E-01,-7.23E-03,1.68E-01
7,0.015151713,8.23E-01,-6.67E-03,1.67E-01
7,0.025252722,7.88E-01,-6.13E-03,1.66E-01
7,0.035353731,7.51E-01,-5.61E-03,1.66E-01
7,0.045454741,7.14E-01,-5.12E-03,1.66E-01
7,0.05555575,6.76E-01,-4.65E-03,1.65E-01
7,0.065656759,6.39E-01,-4.22E-03,1.65E-01
7,0.075757772,6.01E-01,-3.82E-03,1.65E-01
7,0.085858785,5.63E-01,-3.45E-03,1.64E-01
7,0.095959798,5.26E-01,-3.13E-03,1.64E-01
7,0.10606081,4.89E-01,-2.84E-03,1.64E-01
7,0.116161823,4.53E-01,-2.58E-03,1.64E-01
7,0.126262829,4.18E-01,-2.37E-03,1.64E-01
7,0.136363834,3.84E-01,-2.19E-03,1.63E-01
7,0.14646484,3.51E-01,-2.04E-03,1.63E-01
7,0.156565845,3.19E-01,-1.92E-03,1.63E-01
7,0.16666685,2.89E-01,-1.84E-03,1.63E-01
7,0.176767856,2.59E-01,-1.77E-03,1.63E-01
7,0.186868861,2.31E-01,-1.73E-03,1.63E-01
7,0.196969867,2.05E-01,-1.71E-03,1.63E-01
7,0.207070872,1.80E-01,-1.70E-03,1.63E-01
7,0.217171878,1.56E-01,-1.70E-03,1.63E-01
7,0.227272883,1.34E-01,-1.70E-03,1.63E-01
7,0.237373888,1.13E-01,-1.71E-03,1.63E-01
7,0.247474894,9.30E-02,-1.73E-03,1.63E-01
7,0.257575899,7.47E-02,-1.73E-03,1.63E-01
7,0.26767692,5.77E-02,-1.74E-03,1.63E-01
7,0.27777794,4.20E-02,-1.74E-03,1.63E-01
7,0.28787896,2.77E-02,-1.72E-03,1.63E-01
7,0.297979981,1.45E-02,-1.70E-03,1.63E-01
7,0.308081001,2.69E-03,-1.67E-03,1.63E-01
7,0.318182021,-7.94E-03,-1.62E-03,1.63E-01
7,0.328283042,-1.73E-02,-1.56E-03,1.63E-01
7,0.338384062,-2.56E-02,-1.49E-03,1.63E-01
7,0.348485082,-3.26E-02,-1.41E-03,1.63E-01
7,0.358586103,-3.84E-02,-1.31E-03,1.63E-01
7,0.368687123,-4.31E-02,-1.21E-03,1.63E-01
7,0.378788143,-4.65E-02,-1.10E-03,1.63E-01
7,0.388889164,-4.89E-02,-9.82E-04,1.63E-01
7,0.398990184,-5.01E-02,-8.61E-04,1.63E-01
7,0.409091204,-5.01E-02,-7.38E-04,1.63E-01
7,0.419192225,-4.90E-02,-6.16E-04,1.63E-01
7,0.429293245,-4.68E-02,-4.98E-04,1.63E-01
7,0.439394265,-4.34E-02,-3.86E-04,1.63E-01
7,0.449495286,-3.90E-02,-2.82E-04,1.63E-01
7,0.459596306,-3.34E-02,-1.91E-04,1.63E-01
7,0.469697326,-2.67E-02,-1.15E-04,1.63E-01
7,0.479798347,-1.89E-02,-5.68E-05,1.63E-01
7,0.489899367,-9.99E-03,-1.88E-05,1.63E-01
7,0.500000358,0.00E+00,0.00E+00,1.63E-01
15,0.5,0.00E+00,0.00E+00,0.253472686
15,0.48989898,2.06E-02,2.35E-05,0.253471851
15,0.479797959,4.11E-02,7.08E-05,0.253469288
15,0.469696939,6.17E-02,1.43E-04,0.253466308
15,0.459595919,8.23E-02,2.39E-04,0.253463805
15,0.449494898,1.03E-01,3.53E-04,0.253461689
15,0.439393878,1.23E-01,4.85E-04,0.25345993
15,0.429292858,1.44E-01,6.30E-04,0.25345856
15,0.419191837,1.64E-01,7.86E-04,0.253457516
15,0.409090817,1.85E-01,9.51E-04,0.253456682
15,0.398989797,2.05E-01,1.12E-03,0.253456146
15,0.388888776,2.26E-01,1.30E-03,0.253455698
15,0.378787756,2.47E-01,1.47E-03,0.25345546
15,0.368686736,2.68E-01,1.65E-03,0.253455222
15,0.358585715,2.88E-01,1.83E-03,0.253454983
15,0.348484695,3.09E-01,2.00E-03,0.253454655
15,0.338383675,3.30E-01,2.17E-03,0.253454119
15,0.328282654,3.51E-01,2.33E-03,0.253453404
15,0.318181634,3.72E-01,2.48E-03,0.253452301
15,0.308080614,3.94E-01,2.62E-03,0.25345093
15,0.297979593,4.15E-01,2.76E-03,0.253448933
15,0.287878573,4.36E-01,2.88E-03,0.25344637
15,0.277777553,4.57E-01,2.99E-03,0.253443211
15,0.267676532,4.78E-01,3.09E-03,0.253439218
15,0.257575512,4.99E-01,3.18E-03,0.25343433
15,0.247474506,5.20E-01,3.25E-03,0.253428459
15,0.237373501,5.41E-01,3.30E-03,0.253421545
15,0.227272496,5.62E-01,3.34E-03,0.253413498
15,0.21717149,5.82E-01,3.37E-03,0.25340417
15,0.207070485,6.03E-01,3.38E-03,0.253393441
15,0.196969479,6.22E-01,3.37E-03,0.253381312
15,0.186868474,6.42E-01,3.35E-03,0.253367692
15,0.176767468,6.61E-01,3.31E-03,0.253352463
15,0.166666463,6.79E-01,3.26E-03,0.253335625
15,0.156565458,6.97E-01,3.20E-03,0.253317058
15,0.146464452,7.14E-01,3.11E-03,0.253296822
15,0.136363447,7.30E-01,3.02E-03,0.253274858
15,0.126262441,7.46E-01,2.91E-03,0.253251165
