X [ m ],Pressure [ Pa ]
0.00E+00,5.48E-01
1.01E-02,5.04E-01
2.02E-02,4.88E-01
3.03E-02,4.78E-01
4.04E-02,4.72E-01
5.05E-02,4.67E-01
6.06E-02,4.62E-01
7.07E-02,4.58E-01
8.08E-02,4.55E-01
9.09E-02,4.52E-01
1.01E-01,4.49E-01
1.11E-01,4.46E-01
1.21E-01,4.44E-01
1.31E-01,4.41E-01
1.41E-01,4.39E-01
1.52E-01,4.37E-01
1.62E-01,4.34E-01
1.72E-01,4.32E-01
1.82E-01,4.30E-01
1.92E-01,4.27E-01
2.02E-01,4.25E-01
2.12E-01,4.23E-01
2.22E-01,4.20E-01
2.32E-01,4.18E-01
2.42E-01,4.16E-01
2.53E-01,4.13E-01
2.63E-01,4.11E-01
2.73E-01,4.09E-01
2.83E-01,4.06E-01
2.93E-01,4.04E-01
3.03E-01,4.01E-01
3.13E-01,3.99E-01
3.23E-01,3.96E-01
3.33E-01,3.94E-01
3.43E-01,3.91E-01
3.54E-01,3.88E-01
3.64E-01,3.85E-01
3.74E-01,3.83E-01
3.84E-01,3.80E-01
3.94E-01,3.77E-01
4.04E-01,3.74E-01
4.14E-01,3.71E-01
4.24E-01,3.68E-01
4.34E-01,3.65E-01
4.44E-01,3.61E-01
4.55E-01,3.58E-01
4.65E-01,3.55E-01
4.75E-01,3.51E-01
4.85E-01,3.48E-01
4.95E-01,3.44E-01
5.05E-01,3.41E-01
5.15E-01,3.37E-01
5.25E-01,3.33E-01
5.35E-01,3.29E-01
5.45E-01,3.25E-01
5.56E-01,3.21E-01
5.66E-01,3.17E-01
5.76E-01,3.13E-01
5.86E-01,3.08E-01
5.96E-01,3.04E-01
6.06E-01,3.00E-01
6.16E-01,2.95E-01
6.26E-01,2.90E-01
6.36E-01,2.85E-01
6.46E-01,2.81E-01
6.57E-01,2.76E-01
6.67E-01,2.70E-01
6.77E-01,2.65E-01
6.87E-01,2.60E-01
6.97E-01,2.54E-01
7.07E-01,2.49E-01
7.17E-01,2.43E-01
7.27E-01,2.37E-01
7.37E-01,2.31E-01
7.47E-01,2.25E-01
7.58E-01,2.18E-01
7.68E-01,2.12E-01
7.78E-01,2.05E-01
7.88E-01,1.98E-01
7.98E-01,1.91E-01
8.08E-01,1.84E-01
8.18E-01,1.77E-01
8.28E-01,1.69E-01
8.38E-01,1.61E-01
8.48E-01,1.53E-01
8.59E-01,1.45E-01
8.69E-01,1.37E-01
8.79E-01,1.28E-01
8.89E-01,1.19E-01
8.99E-01,1.10E-01
9.09E-01,1.01E-01
9.19E-01,9.10E-02
9.29E-01,8.10E-02
9.39E-01,7.07E-02
9.49E-01,6.01E-02
9.60E-01,4.91E-02
9.70E-01,3.78E-02
9.80E-01,2.59E-02
9.90E-01,1.34E-02
1.00E+00,6.09E-04
