X [ m ],Velocity u [ m s^-1 ]
0.00E+00,4.99E-01
1.01E-02,5.62E-01
2.02E-02,5.84E-01
3.03E-02,5.96E-01
4.04E-02,6.04E-01
5.05E-02,6.11E-01
6.06E-02,6.17E-01
7.07E-02,6.21E-01
8.08E-02,6.26E-01
9.09E-02,6.30E-01
1.01E-01,6.33E-01
1.11E-01,6.37E-01
1.21E-01,6.40E-01
1.31E-01,6.43E-01
1.41E-01,6.46E-01
1.52E-01,6.49E-01
1.62E-01,6.52E-01
1.72E-01,6.55E-01
1.82E-01,6.58E-01
1.92E-01,6.60E-01
2.02E-01,6.62E-01
2.12E-01,6.62E-01
2.22E-01,6.61E-01
2.32E-01,6.59E-01
2.42E-01,6.56E-01
2.53E-01,6.50E-01
2.63E-01,6.44E-01
2.73E-01,6.38E-01
2.83E-01,6.31E-01
2.93E-01,6.25E-01
3.03E-01,6.20E-01
3.13E-01,6.16E-01
3.23E-01,6.13E-01
3.33E-01,6.12E-01
3.43E-01,6.12E-01
3.54E-01,6.12E-01
3.64E-01,6.14E-01
3.74E-01,6.15E-01
3.84E-01,6.18E-01
3.94E-01,6.20E-01
4.04E-01,6.23E-01
4.14E-01,6.26E-01
4.24E-01,6.29E-01
4.34E-01,6.33E-01
4.44E-01,6.36E-01
4.55E-01,6.40E-01
4.65E-01,6.44E-01
4.75E-01,6.48E-01
4.85E-01,6.52E-01
4.95E-01,6.56E-01
5.05E-01,6.60E-01
5.15E-01,6.64E-01
5.25E-01,6.68E-01
5.35E-01,6.72E-01
5.45E-01,6.77E-01
5.56E-01,6.81E-01
5.66E-01,6.86E-01
5.76E-01,6.90E-01
5.86E-01,6.95E-01
5.96E-01,7.00E-01
6.06E-01,7.04E-01
6.16E-01,7.09E-01
6.26E-01,7.14E-01
6.36E-01,7.19E-01
6.46E-01,7.24E-01
6.57E-01,7.29E-01
6.67E-01,7.35E-01
6.77E-01,7.40E-01
6.87E-01,7.45E-01
6.97E-01,7.51E-01
7.07E-01,7.56E-01
7.17E-01,7.62E-01
7.27E-01,7.67E-01
7.37E-01,7.73E-01
7.47E-01,7.79E-01
7.58E-01,7.85E-01
7.68E-01,7.91E-01
7.78E-01,7.97E-01
7.88E-01,8.03E-01
7.98E-01,8.10E-01
8.08E-01,8.16E-01
8.18E-01,8.23E-01
8.28E-01,8.29E-01
8.38E-01,8.36E-01
8.48E-01,8.43E-01
8.59E-01,8.50E-01
8.69E-01,8.57E-01
8.79E-01,8.65E-01
8.89E-01,8.72E-01
8.99E-01,8.80E-01
9.09E-01,8.88E-01
9.19E-01,8.96E-01
9.29E-01,9.04E-01
9.39E-01,9.13E-01
9.49E-01,9.22E-01
9.60E-01,9.31E-01
9.70E-01,9.40E-01
9.80E-01,9.49E-01
9.90E-01,9.59E-01
1.00E+00,9.72E-01
